EmployeeID,source,IndustryBenchmarkSalary,CompetitorJobPostings,MarketDemandForSkills,EconomicIndicators,LocationCostOfLiving
111065,Market Intelligence APIs,1849453,285,9.117313295841695,0.23389985778479794,173
106080,Market Intelligence APIs,1930487,293,2.260402018937618,-0.28904617993218107,95
106452,Market Intelligence APIs,2489389,33,6.000499606425908,-2.2533019590439722,191
106325,Market Intelligence APIs,899739,301,5.738554502221744,4.600331233709062,112
111171,Market Intelligence APIs,1313227,422,8.276538378985116,-3.569726308267102,51
106419,Market Intelligence APIs,1886814,161,8.247982893966268,-3.0105590667327777,85
100309,Market Intelligence APIs,588274,109,6.458316844450214,0.3882397117815932,116
110500,Market Intelligence APIs,848147,49,5.647060516617688,0.587722255219993,137
110533,Market Intelligence APIs,1851438,494,2.259832258969156,6.236468898000075,93
110927,Market Intelligence APIs,1551055,422,4.324024446574275,5.206843425346797,115
105548,Market Intelligence APIs,1998704,214,3.508548782422042,7.410746064678044,157
111354,Market Intelligence APIs,2568820,257,1.3671766276321264,-1.1792365452363653,182
100895,Market Intelligence APIs,2659190,1,4.9978328495855004,2.697185254060824,118
110783,Market Intelligence APIs,2198196,305,6.3446376741128105,1.8709071922228286,164
105507,Market Intelligence APIs,2301886,204,1.1207338517104342,3.4276965491597693,62
106710,Market Intelligence APIs,1794518,414,6.096348298784966,9.801867305507965,147
101236,Market Intelligence APIs,2476610,69,7.522772263061352,8.811830678093513,196
105985,Market Intelligence APIs,827577,172,6.665489123970072,2.6955453803485945,155
111202,Market Intelligence APIs,1357355,125,7.915397093795898,-1.4987258569450312,100
100621,Market Intelligence APIs,855326,240,1.1159436861997258,-3.4967211363843536,106
100301,Market Intelligence APIs,2316026,45,2.588339665679609,-2.710947359657992,51
101120,Market Intelligence APIs,1520227,111,1.194569365778502,6.064227824806535,106
101124,Market Intelligence APIs,584026,69,1.246805275261507,-4.519729431229202,149
110788,Market Intelligence APIs,2377878,420,5.230122104047075,-4.756693675468705,55
105394,Market Intelligence APIs,2604249,450,2.062431325585074,8.046023898300701,129
101226,Market Intelligence APIs,721100,10,1.0083647518296495,4.855492428044604,116
105911,Market Intelligence APIs,2928687,403,6.25737254431062,5.301764464467439,86
110566,Market Intelligence APIs,1702630,25,3.158217872804613,0.07691713592181326,62
106577,Market Intelligence APIs,1340577,398,8.36937342149846,9.68834361632654,107
106473,Market Intelligence APIs,1066069,441,4.6355971256838195,7.981115395988402,53
100603,Market Intelligence APIs,2394183,471,2.6220931688558715,5.598338979122744,194
106411,Market Intelligence APIs,1931419,415,1.1539409721198033,-4.4882361853972235,168
100730,Market Intelligence APIs,2232101,456,9.449296643259332,7.578570707172995,77
106540,Market Intelligence APIs,1515868,203,1.4021956012686128,4.8406876170635105,53
106529,Market Intelligence APIs,1980574,394,1.284337750084492,9.784492914928627,118
110848,Market Intelligence APIs,2736692,372,5.952397940244811,3.1200596675799677,173
105437,Market Intelligence APIs,2828803,399,9.078252446445063,7.825839410377094,197
110342,Market Intelligence APIs,1654194,154,7.337792520100938,7.595266148247376,96
110552,Market Intelligence APIs,2377309,342,6.492402205156936,9.356783715272877,53
111140,Market Intelligence APIs,1719921,477,5.554523295669154,-2.751461701297996,191
